단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
상계주공3(고층),전세,68,서울특별시 노원구 상계동,730-2,202504,1987,33000,0
현대주상복합,월세,196,서울특별시 송파구 방이동,48-5,202504,1998,7000,20
용산베르디움프렌즈,월세,49,서울특별시 용산구 한강로2가,426,202504,2021,19707,35
범양,월세,84,서울특별시 성북구 돈암동,631,202504,1998,20000,105
성지,전세,84,서울특별시 송파구 송파동,171,202504,1992,89750,0
동성아파트,월세,59,서울특별시 중랑구 신내동,591,202504,1997,20000,50
석탑,전세,59,서울특별시 중랑구 신내동,787,202504,1997,33400,0
화성.두산아파트,전세,66,서울특별시 중랑구 신내동,656,202504,1995,38000,0
건영2차,전세,57,서울특별시 중랑구 신내동,785,202504,1996,34000,0
거성파스텔,월세,84,서울특별시 영등포구 양평동3가,90-1,202504,1999,20000,150
주성드림펠리스,전세,109,서울특별시 송파구 가락동,160-1,202504,2004,66500,0
삼환,전세,72,서울특별시 송파구 가락동,176,202504,1984,37000,0
헬리오시티,월세,59,서울특별시 송파구 가락동,913,202504,2018,35000,225
미사아름채아파트,월세,12,서울특별시 강동구 천호동,452-15,202504,2020,18750,17
금호아파트,전세,27,서울특별시 강동구 천호동,44,202504,1987,17800,0
장미,전세,92,서울특별시 중랑구 묵동,188-1,202504,1983,22000,0
삼환,전세,84,서울특별시 영등포구 신길동,897-1,202504,1997,52500,0
신동아,전세,67,서울특별시 영등포구 대림동,777-1,202504,1987,35250,0
포시티,월세,14,서울특별시 중랑구 상봉동,113-1,202504,2014,1000,62
용마산모아엘가파크포레,전세,84,서울특별시 중랑구 면목동,1549,202504,2023,57000,0
이촌코오롱(A),월세,59,서울특별시 용산구 이촌동,412,202504,1999,17500,185
한가람,전세,59,서울특별시 용산구 이촌동,404,202504,1998,66500,0
한가람,전세,114,서울특별시 용산구 이촌동,404,202504,1998,110000,0
이촌동삼성리버스위트,전세,234,서울특별시 용산구 이촌동,426,202504,2002,200000,0
대림e-편한세상,전세,114,서울특별시 동대문구 이문동,225,202504,2003,68000,0
아크로리버하임,월세,84,서울특별시 동작구 흑석동,341,202504,2019,11750,242
사당우성2,전세,59,서울특별시 동작구 사당동,105,202504,1993,47000,0
신동아,월세,140,서울특별시 용산구 서빙고동,241-21,202504,1985,7000,320
효자,전세,56,서울특별시 종로구 통인동,5-1,202504,1999,17000,0
두산,전세,59,서울특별시 관악구 봉천동,1708,202504,2000,50750,0
주공아파트 5단지,월세,82,서울특별시 송파구 잠실동,27,202504,1978,10000,190
LH서울잠실행복주택,월세,14,서울특별시 송파구 잠실동,197-6,202504,2022,6440,27
잠실엘스,전세,59,서울특별시 송파구 잠실동,19,202504,2008,93800,0
관악산휴먼시아1단지,전세,84,서울특별시 관악구 신림동,1735-1,202504,2008,49000,0
신림2차푸르지오,전세,84,서울특별시 관악구 신림동,1736,202504,2007,46000,0
보라매팰리스,월세,19,서울특별시 관악구 신림동,1432-105,202504,2012,3000,52
센터스퀘어서울대점,월세,44,서울특별시 관악구 신림동,1747,202504,2024,15470,68
래미안크레시티,전세,59,서울특별시 동대문구 전농동,690,202504,2014,54820,0
상계주공7(고층),전세,41,서울특별시 노원구 상계동,691,202504,1988,21400,0
