단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
공덕3삼성래미안,매매,59,서울특별시 마포구 공덕동,457,202505,2004,157000
공덕3삼성래미안,매매,84,서울특별시 마포구 공덕동,457,202505,2004,183500
공덕SK리더스뷰,매매,84,서울특별시 마포구 공덕동,479,202505,2021,192000
공덕아이파크,매매,84,서울특별시 마포구 신공덕동,174,202505,2013,154500
공덕아이파크,매매,114,서울특별시 마포구 신공덕동,174,202505,2013,179000
공덕자이,매매,59,서울특별시 마포구 아현동,800,202505,2015,172850
공덕자이,매매,84,서울특별시 마포구 아현동,800,202505,2015,210300
공덕자이,매매,114,서울특별시 마포구 아현동,800,202505,2015,215000
공덕파크자이,매매,84,서울특별시 마포구 공덕동,476,202505,2015,191167
공덕현대,매매,84,서울특별시 마포구 공덕동,370-9,202505,1989,130000
공릉우성아파트,매매,84,서울특별시 노원구 공릉동,738,202505,1995,72000
공작,매매,126,서울특별시 영등포구 여의도동,21-2,202505,1976,350000
공항동부센트레빌,매매,84,서울특별시 강서구 공항동,1374,202505,2009,80000
관악동부센트레빌,매매,59,서울특별시 관악구 봉천동,1719,202505,2004,86433
관악드림(동아),매매,59,서울특별시 관악구 봉천동,1712,202505,2003,82625
관악드림(동아),매매,60,서울특별시 관악구 봉천동,1712,202505,2003,83900
관악드림(동아),매매,84,서울특별시 관악구 봉천동,1712,202505,2003,92571
관악드림(동아),매매,114,서울특별시 관악구 봉천동,1712,202505,2003,103000
관악드림(삼성),매매,59,서울특별시 관악구 봉천동,1712,202505,2003,74500
관악드림(삼성),매매,84,서울특별시 관악구 봉천동,1712,202505,2003,88500
관악드림(삼성),매매,114,서울특별시 관악구 봉천동,1712,202505,2003,94800
관악산벽산타운5,매매,59,서울특별시 금천구 시흥동,1013,202505,2004,42500
관악산벽산타운5,매매,84,서울특별시 금천구 시흥동,1013,202505,2004,53543
관악산벽산타운5,매매,114,서울특별시 금천구 시흥동,1013,202505,2004,62333
관악산휴먼시아1단지,매매,59,서울특별시 관악구 신림동,1735-1,202505,2008,62500
관악산휴먼시아1단지,매매,84,서울특별시 관악구 신림동,1735-1,202505,2008,71000
관악산휴먼시아2단지,매매,59,서울특별시 관악구 신림동,1735,202505,2008,54730
관악산휴먼시아2단지,매매,84,서울특별시 관악구 신림동,1735,202505,2008,68167
관악산휴먼시아2단지,매매,114,서울특별시 관악구 신림동,1735,202505,2008,79500
관악유앤아이,매매,84,서울특별시 관악구 봉천동,1727,202505,2009,85300
